Sample #,# of round-trip trades ,total return % ,winning trades % ,average losing amount ,kelly criterion ,t-statistic ,max drawdown ,mean ,max ,min ,wtd% ,mtd% ,qtd% ,ytd% ,52wk %chg
341,9,-21.67,33.3333%,-4.115,0.495342,-2.02542,3.44832,56.9911,83.5564,37.6816,0.996608,1.16166,1.27082,1.18505,1.65117
342,11,5.97,45.4545%,-1.855,0.748591,0.557066,34.7326,40.9343,68.26,29.3368,1.05099,1.01881,1.01282,1.0988,0.913704
343,12,12.71,75%,-1.86667,0.883929,1.72956,35.9191,44.2352,71.732,31.6062,0.962116,1.03931,0.936451,0.935711,1.00838
344,13,27.39,53.8462%,-0.790002,1.12269,1.59982,34.3365,60.1732,77.4003,36.2918,1.09257,1.09286,0.956587,1.07539,0.652476
345,11,5.45001,54.5455%,-2.434,0.732203,0.50346,42.9919,54.6823,83.0932,39.8184,0.947087,0.963545,0.897364,0.896201,0.779671
346,8,4.67002,37.5%,-2.716,0.605118,0.307376,26.0694,61.1929,81.7225,44.1138,1.05379,1.1916,1.04817,1.2592,0.844503
347,11,25.04,81.8182%,-1.475,0.941448,2.74012,52.7582,46.0587,74.6484,21.1449,0.935367,0.871191,0.716655,0.801977,0.555573
348,11,25.56,72.7273%,-2.45333,0.838439,1.41746,39.1753,41.8628,70.4564,28.3163,1.01065,1.07239,1.02988,0.97133,0.791268
349,11,34.3,81.8182%,-2.11,0.904352,2.74138,22.9729,57.6853,78.2748,40.2878,0.991746,1.00385,0.99509,0.984251,0.927105
350,7,6.29,57.1429%,-3.04333,0.712252,0.495568,32.4932,57.574,86.4862,43.6103,0.938398,1.03303,1.04614,0.936407,0.85934
351,14,19.86,57.1429%,-2.08,0.777473,0.950168,30.6673,61.9075,76.5288,45.8615,0.952629,0.813494,0.732804,0.83722,0.691131
352,13,22.41,61.5385%,-1.346,0.901132,1.87013,61.1337,67.3918,95.2039,32.0607,1.0063,1.00053,0.695466,0.959055,0.407339
353,7,20.58,71.4286%,-2.26,0.840708,1.58157,55.8143,54.8577,84.0764,25.4859,1.01152,1.02852,0.910277,1.04308,0.358108
354,12,27.78,66.6667%,-3.5925,0.759453,1.06988,49.7678,47.0699,78.0593,26.2675,1.07705,0.929168,0.768222,0.903113,0.603635
355,9,8.19001,66.6667%,-1.46333,0.894457,0.998927,47.0387,43.486,70.9031,22.8489,0.988712,0.848773,0.844196,0.809828,0.476935
356,10,18.97,60%,-1.5925,0.851177,1.73398,43.9344,47.1244,77.754,31.4323,0.962714,0.945881,0.834454,0.939329,0.884508
357,12,6.2,58.3333%,-2.124,0.779504,0.641664,66.9136,86.4321,124.455,55.4417,0.991152,0.876908,0.800282,0.832968,0.519459
358,10,6.55,70%,-4.08,0.773529,0.492362,47.2413,41.1171,72.4391,22.2861,0.890225,0.715499,0.911437,0.716657,0.610926
