Date,Open,High,Low,Close,Volume,Adj Close,SMA(5),SMA(20),SMA(50),Diff 5-20,Diff 5-50,Signal,,Action ,Return
6/30/2011,68.59,69.95,68.56,69.37,3258100,68.01,65.748,64.402,67.5942,1.346,-1.8462,SELL,,,
7/1/2011,69.31,70.11,68.17,69.87,5395700,68.5,66.644,64.489,67.5282,2.155,-0.8842,SELL,,,
7/5/2011,69.87,70.63,69.76,70.07,3498700,68.69,67.58,64.655,67.4524,2.925,0.1276,BUY,buy,,
7/6/2011,69.91,70.25,69.19,69.89,2453900,68.52,68.122,64.815,67.3796,3.307,0.7424,BUY,,,
7/7/2011,70.81,71.57,70.69,71.13,2168000,69.73,68.69,65.1065,67.3242,3.5835,1.3658,BUY,,,
7/8/2011,69.99,70.62,69.66,70.42,4349600,69.04,68.896,65.3255,67.2454,3.5705,1.6506,BUY,,,
7/11/2011,69.48,69.52,67.52,67.71,4173400,66.38,68.472,65.442,67.1116,3.03,1.3604,BUY,,,
7/12/2011,67.89,68.71,67.42,67.66,3081600,66.33,68,65.623,66.9584,2.377,1.0416,BUY,,,
7/13/2011,68.15,70.49,68.15,69.36,5077800,68,67.896,65.8015,66.851,2.0945,1.045,BUY,,,
7/14/2011,69.77,70.02,67.4,67.66,5842700,66.33,67.216,65.977,66.7294,1.239,0.4866,BUY,,,
7/15/2011,68.13,69.14,67.49,69.14,5751800,67.78,66.964,66.28,66.676,0.684,0.288,BUY,,,
7/18/2011,69.18,70.01,68.83,69.29,4417600,67.93,67.274,66.5995,66.6562,0.6745,0.6178,BUY,,,
7/19/2011,69.88,70.72,69.81,70.72,4367200,69.33,67.874,66.9555,66.6562,0.9185,1.2178,BUY,,,
7/20/2011,70.96,70.96,69.96,70.57,3087400,69.19,68.112,67.191,66.618,0.921,1.494,BUY,,,
7/21/2011,70.78,71.38,70.32,71.3,2992200,69.9,68.826,67.454,66.594,1.372,2.232,BUY,,,
7/22/2011,71.26,72.02,71.12,71.8,2424600,70.39,69.348,67.739,66.6366,1.609,2.7114,BUY,,,
7/25/2011,71.65,71.89,71.05,71.31,2295500,69.91,69.744,68.0335,66.659,1.7105,3.085,BUY,,,
7/26/2011,71.02,71.07,69.57,69.8,3621400,68.43,69.564,68.2545,66.6832,1.3095,2.8808,BUY,,,
7/27/2011,69.58,69.65,67.35,67.44,3475900,66.12,68.95,68.27,66.6688,0.68,2.2812,BUY,,,
7/28/2011,67.47,68.22,66.93,67.05,3346200,65.73,68.116,68.212,66.6384,-0.096,1.4776,BUY,,,
7/29/2011,66.28,67.22,65.28,66.6,6376300,65.29,67.096,68.076,66.579,-0.98,0.517,BUY,,,
8/1/2011,67.98,68.05,65.86,66.48,4054600,65.18,66.15,67.91,66.5304,-1.76,-0.3804,SELL,sell,,
8/2/2011,66.18,67.3,64.4,64.55,7060500,63.28,65.12,67.6395,66.4546,-2.5195,-1.3346,SELL,,,
8/3/2011,65.01,65.19,62.4,64.32,6018500,63.06,64.508,67.3665,66.394,-2.8585,-1.886,SELL,,,
8/4/2011,62.74,63.21,58.24,58.42,11642500,57.27,62.816,66.7435,66.2058,-3.9275,-3.3898,SELL,,,
8/5/2011,58.95,59.86,54.66,56.72,12578800,55.61,60.88,66.072,65.9594,-5.192,-5.0794,SELL,,,
8/8/2011,54.6,55.35,51.41,51.57,9213900,50.56,57.956,65.281,65.599,-7.325,-7.643,SELL,,,
8/9/2011,53.09,55.75,51.29,55.62,11917300,54.53,56.206,64.691,65.3042,-8.485,-9.0982,SELL,,,
8/10/2011,54.79,56.05,53.08,53.72,7455800,52.67,54.128,63.9245,64.9516,-9.7965,-10.8236,SELL,,,
8/11/2011,54,57.4,53.42,56.66,4603900,55.55,53.784,63.3855,64.7062,-9.6015,-10.9222,SELL,,,
8/12/2011,57.2,57.89,56.76,57.16,2937700,56.04,53.87,62.7985,64.4662,-8.9285,-10.5962,SELL,,,
8/15/2011,57.55,59.06,57.43,58.96,2254800,57.8,55.318,62.292,64.287,-6.974,-8.969,SELL,,,
8/16/2011,58.19,58.54,56.82,56.95,5137200,55.83,55.578,61.617,64.0962,-6.039,-8.5182,SELL,,,
8/17/2011,57.25,58.34,56.4,56.73,4578900,55.62,56.168,60.9385,63.9022,-4.7705,-7.7342,SELL,,,
8/18/2011,54.92,55,52.98,53.57,6027000,52.52,55.562,60.0695,63.6746,-4.5075,-8.1126,SELL,,,
8/19/2011,52.63,55.18,52.47,52.63,4340600,51.6,54.674,59.13,63.4134,-4.456,-8.7394,SELL,,,
8/22/2011,54.08,54.38,52.51,52.85,2782100,51.81,53.476,58.225,63.1686,-4.749,-9.6926,SELL,,,
8/23/2011,53.34,54.38,52.4,54.34,3306700,53.27,52.964,57.467,62.9798,-4.503,-10.0158,SELL,,,
8/24/2011,54.18,54.65,53.03,54.59,2036600,53.52,52.544,56.837,62.7616,-4.293,-10.2176,SELL,,,
8/25/2011,55.48,55.48,53.56,53.87,1628100,52.81,52.602,56.191,62.5614,-3.589,-9.9594,SELL,,,
8/26/2011,53.63,55.89,52.71,55.75,2127200,54.66,53.214,55.6595,62.4202,-2.4455,-9.2062,SELL,,,
8/29/2011,56.53,58.02,56.41,57.87,1910200,56.73,54.198,55.237,62.324,-1.039,-8.126,SELL,,,
8/30/2011,57.66,59.06,57.21,58.59,1929100,57.44,55.032,54.945,62.2286,0.087,-7.1966,SELL,,,
8/31/2011,59.18,59.88,57.9,58.57,3046100,57.42,55.812,54.663,62.0874,1.149,-6.2754,SELL,,,
9/1/2011,58.55,59.23,57.32,57.48,3189700,56.35,56.52,54.617,61.9216,1.903,-5.4016,SELL,,,
9/2/2011,56.63,57.01,55.7,56.28,2224700,55.18,56.624,54.5955,61.7314,2.0285,-5.1074,SELL,,,
